,ITEM,DesignItemId,Quantity,Designator,Value,Description,Footprint,Manufacturer,Manufacturer Part Number,#Column Name Error:' MANUFACTURER Lifecycle 1,#Column Name Error:' Supplier 1,#Column Name Error:' Supplier Part Number 1,Case/Package,Case/Packages,Max Power Dissipation,Res/ESR,Voltage Rating,Power Rating,Pins,LibRef,Max Operating Temperature,Min Operating Temperature,Tolerance,Frequency
,97,CMP-RES-000265-N,38,"R133, R135, R136, R180, R181, R182, R183, R184, R280, R281, R282, R283, R284, R302, R303, R305, R444, R447, R454, R467, R472, R475, R478, R487, R490, R499, R900, R901, R902, R903, R904, R905, R910, R911, R912, R913, R914, R915",10KOhms,RES 10K OHM 1% 1/10W ±100ppm Thick Film 0603 SMD,RESC1608X50N,Vishay,CRCW060310K0FKTA,,,,0603,,,,,1/10W,2,CMP-RES-000265-N,155°C,-55°C,1%,
,98,CMP-RES-000266-N,1,R142,5.1KOhms,RES 5.1K OHM 1% 1/10W ±100ppm Thick Film 0603 SMD,RESC1608X50N,Yageo,AC0603FR-075K1L,,,,0603,,,,,1/10W,2,CMP-RES-000266-N,155°C,-55°C,1%,
,99,CMP-RES-000319-F,2,"R153, R153A",47 OHM,"RES 47 OHM, 250 mW, 5%, 200V THICK FILM 1206 SMD",RESC3216X89X51NL25T25,Vishay Dale,CRCW120643R0JNEAIF,,,,1206,,250mW,,,250mW,2,CMP-RES-000319-F,155°C,-55°C,5%,
,100,CMP-RES-000192-N,2,"R156, R157",154K,RES 154K OHM 1% 1/10W 100ppm Thk Film 0603 SMD,RESC1608X50N,Stackpole Electronics,RMCF0603FT154K,,,,0603,,,,,100mW,2,CMP-RES-000192-N,155°C,-55°C,1%,
,101,CMP-RES-000193-P,2,"R158, R159",15.0K,RES 15.0K OHM 1% 1/10W 100ppm Thk Film 0603 SMD,RESC1608X50N,Vishay Dale,CRCW060315K0FKEA,,,,0603,,,,,100mW,2,CMP-RES-000193-P,155°C,-55°C,1%,
,102,CMP-RES-000154-N,1,R168,130 OHM,RES 130 OHM 1% 1/4W 100ppm Thk Film 0603 SMD,RESC1608X50N,Vishay Dale,RCS0603130RFKEA,,,,0603,,,,,250mW,2,CMP-RES-000154-N,155°C,-55°C,1%,
,103,CMP-RES-000009-R,1,R190,ZERO,RES 0 OHM JUMPER 1W Thk Film 2512 SMD,RESC6432X61N,Vishay Dale,CRCW25120000Z0EG,,,,2512,,,,,1W,2,CMP-RES-000009-R,155°C,-55°C,-,
,104,CMP-RES-000270-P,1,R219,1KOhms,RES 1K OHM 1% 1/10W ±100ppm Thick Film 0603 SMD,RESC1608X50N,Vishay,CRCW06031K00FKEB,,,,0603,,,,,1/10W,2,CMP-RES-000270-P,155°C,-55°C,1%,
,105,CMP-RES-000345-K,12,"R224, R225, R226, R227, R228, R229, R230, R231, R232, R233, R850, R852",47,ERES 47 Ohm 5% 1/10W ±200ppm/°C Thick Film 0603 SMD,RESC1608X50N,STACKPOLE ELECTGRONICS,RMCF0603JT47R0,,,,0603,,,,,100mW,2,CMP-RES-000345-K,155°C,-55°C,5%,
,106,CMP-RES-000367-K,2,"R307, R920",22kOhms,RES 0603 22 kOHM 1% 1/10W ±100ppm Thk Film 0603 SMD,RESC1608X50N,Bourns,CR0603-FX-2202ELF,,,,0603,,,,,1/10W,2,CMP-RES-000367-K,155°C,-55°C,1%,
,107,CMP-RES-000100-E,2,"R312, R330",187K,RES 187K OHM 1% 1/16W 100ppm Thk Film 0402 SMD,RESC1005X45N,Stackpole Electronics,RMCF0402FT187K,,,,0402,,,,,63mW,2,CMP-RES-000100-E,155°C,-55°C,1%,
,108,CMP-RES-000020-AC,2,"R315, R325",1.00 OHM,RES 1.00 OHM 1% 1/10W 100ppm Thk Film 0603 SMD,RESC1608X50N,Vishay Dale,CRCW06031R00FKTA,,,,0603,,,,,100mW,2,CMP-RES-000020-AC,155°C,-55°C,1%,
,109,CMP-RES-000007-T,1,R318,ZERO,RES 0 OHM JUMPER 1/2W Thk Film 1210 SMD,RESC3225X60X45NL20T20,Vishay Dale,CRCW12100000Z0EA,,,,1210,,,,,500mW,2,CMP-RES-000007-T,155°C,-55°C,-,
,110,CMP-RES-000305-P,17,"R400, R401, R402, R403, R404, R405, R406, R407, R500, R501, R502, R503, R505, R506, R507, R508, R740",33 OHM,RES 33 Ohm 1% 0.1W(1/10W) +/-100ppm/C THICK FILM  0603 SMD,RESC1608X50N,PANASONIC,ERJ-3EKF9312V,,,,0603,,100mW,,75V,100mW,2,CMP-RES-000305-P,155°C,-55°C,1%,
,111,CMP-RES-000254-F,2,"R425, R426",1M,RES 1M OHM 0.1% 2W Thk Film 2512 SMD,RESC6432X61N,Stackpole Electronics,HVCB2512BDE1M00,,,,2512,,,,,2W,2,CMP-RES-000254-F,150°C,-55°C,0.1%,
